"长安区","石家庄市","河北省"
"桥东区","石家庄市","河北省"
"桥西区","石家庄市","河北省"
"新华区","石家庄市","河北省"
"井陉矿区","石家庄市","河北省"
"裕华区","石家庄市","河北省"
"井陉县","石家庄市","河北省"
"正定县","石家庄市","河北省"
"栾城县","石家庄市","河北省"
"行唐县","石家庄市","河北省"
"灵寿县","石家庄市","河北省"
"高邑县","石家庄市","河北省"
"深泽县","石家庄市","河北省"
"赞皇县","石家庄市","河北省"
"无极县","石家庄市","河北省"
"平山县","石家庄市","河北省"
"元氏县","石家庄市","河北省"
"赵县","石家庄市","河北省"
"辛集市","石家庄市","河北省"
"藁城市","石家庄市","河北省"
"晋州市","石家庄市","河北省"
"新乐市","石家庄市","河北省"
"鹿泉市","石家庄市","河北省"
"路南区","唐山市","河北省"
"路北区","唐山市","河北省"
"古冶区","唐山市","河北省"
"开平区","唐山市","河北省"
"丰南区","唐山市","河北省"
"丰润区","唐山市","河北省"
"滦县","唐山市","河北省"
"滦南县","唐山市","河北省"
"乐亭县","唐山市","河北省"
"迁西县","唐山市","河北省"
"玉田县","唐山市","河北省"
"唐海县","唐山市","河北省"
"遵化市","唐山市","河北省"
"迁安市","唐山市","河北省"
"海港区","秦皇岛市","河北省"
"山海关区","秦皇岛市","河北省"
"北戴河区","秦皇岛市","河北省"
"青龙满族自治县","秦皇岛市","河北省"
"昌黎县","秦皇岛市","河北省"
"抚宁县","秦皇岛市","河北省"
"卢龙县","秦皇岛市","河北省"
"邯山区","邯郸市","河北省"
"丛台区","邯郸市","河北省"
"复兴区","邯郸市","河北省"
"峰峰矿区","邯郸市","河北省"
"邯郸县","邯郸市","河北省"
"临漳县","邯郸市","河北省"
"成安县","邯郸市","河北省"
"大名县","邯郸市","河北省"
"涉县","邯郸市","河北省"
"磁县","邯郸市","河北省"
"肥乡县","邯郸市","河北省"
"永年县","邯郸市","河北省"
"邱县","邯郸市","河北省"
"鸡泽县","邯郸市","河北省"
"广平县","邯郸市","河北省"
"馆陶县","邯郸市","河北省"
"魏县","邯郸市","河北省"
"曲周县","邯郸市","河北省"
"武安市","邯郸市","河北省"
"桥东区","邢台市","河北省"
"桥西区","邢台市","河北省"
"邢台县","邢台市","河北省"
"临城县","邢台市","河北省"
"内丘县","邢台市","河北省"
"柏乡县","邢台市","河北省"
"隆尧县","邢台市","河北省"
"任县","邢台市","河北省"
"南和县","邢台市","河北省"
"宁晋县","邢台市","河北省"
"巨鹿县","邢台市","河北省"
"新河县","邢台市","河北省"
"广宗县","邢台市","河北省"
"平乡县","邢台市","河北省"
"威县","邢台市","河北省"
"清河县","邢台市","河北省"
"临西县","邢台市","河北省"
"南宫市","邢台市","河北省"
"沙河市","邢台市","河北省"
"新市区","保定市","河北省"
"北市区","保定市","河北省"
"南市区","保定市","河北省"
"满城县","保定市","河北省"
"清苑县","保定市","河北省"
"涞水县","保定市","河北省"
"阜平县","保定市","河北省"
"徐水县","保定市","河北省"
"定兴县","保定市","河北省"
"唐县","保定市","河北省"
"高阳县","保定市","河北省"
"容城县","保定市","河北省"
"涞源县","保定市","河北省"
"望都县","保定市","河北省"
"安新县","保定市","河北省"
"易县","保定市","河北省"
"曲阳县","保定市","河北省"
"蠡县","保定市","河北省"
"顺平县","保定市","河北省"
"博野县","保定市","河北省"
"雄县","保定市","河北省"
"涿州市","保定市","河北省"
"定州市","保定市","河北省"
"安国市","保定市","河北省"
